"background","experience","attitude","first","preference","task","active"
"Business / Economics","Less than 1","Yes","SAS","Python","Data visualization","3"
"Engineering","Less than 1","Yes","C","Python","Machine Learning","3"
"Other","Less than 1","Indifferent","R","R","Data visualization","2"
"Mathematics / Statistics","1 to 5","Indifferent","Java","Python","Machine Learning","2"
"Mathematics / Statistics","Less than 1","Indifferent","Other","R","Data wrangling","2"
"Engineering","1 to 5","Yes","Java","R","Data visualization","2"
"Other","Less than 1","Yes","C","R","Data wrangling","2"
"Mathematics / Statistics","1 to 5","Yes","Python","Python","Machine Learning","2"
"Mathematics / Statistics","1 to 5","Indifferent","Python","R","Data visualization","2"
"Other","1 to 5","Yes","Python","Python","Machine Learning","3"
"Business / Economics","1 to 5","Yes","Python","Python","Machine Learning","2"
"Other","Less than 1","Yes","Python","Python","Machine Learning","2"
"Other","1 to 5","Yes","Matlab","R","Data visualization","2"
"Other","Less than 1","Indifferent","Matlab","R","Data visualization","2"
"Other","More than 5","Yes","Other","R","Data visualization","3"
"Other","Less than 1","Yes","Python","Python","Data wrangling","2"
"Business / Economics","Less than 1","No","Python","R","Data visualization","2"
"Business / Economics","Less than 1","Yes","Other","R","Machine Learning","2"
"Business / Economics","1 to 5","Yes","Other","Python","Machine Learning","3"
"Business / Economics","Less than 1","No","SAS","R","Data visualization","2"
"Business / Economics","Less than 1","Yes","SAS","R","Data wrangling","2"
"Mathematics / Statistics","1 to 5","No","C","R","Data visualization","2"
"Mathematics / Statistics","1 to 5","Indifferent","R","R","Data visualization","3"
"Mathematics / Statistics","Less than 1","No","Python","Python","Data wrangling","2"
"Engineering","Less than 1","Indifferent","C","Python","Machine Learning","3"
"Other","1 to 5","Yes","C","Python","Machine Learning","3"
"Computer Science / Computer Engineering","1 to 5","Yes","C","Python","Machine Learning","2"
"Mathematics / Statistics","Less than 1","Yes","Java","R","Machine Learning","2"
"Engineering","1 to 5","Indifferent","C","Python","Machine Learning","5 or more"
"Business / Economics","1 to 5","Yes","R","R","Machine Learning","2"
"Engineering","1 to 5","Indifferent","C","R","Data wrangling","3"
"Other","1 to 5","Yes","C","Python","Machine Learning","2"
"Other","1 to 5","Yes","Matlab","Python","Machine Learning","3"
"Engineering","1 to 5","Yes","C","Python","Machine Learning","2"
"Mathematics / Statistics","1 to 5","Indifferent","Python","Python","Data visualization","2"
"Computer Science / Computer Engineering","1 to 5","Indifferent","Java","R","Data visualization","2"
"Computer Science / Computer Engineering","Less than 1","Indifferent","Matlab","Python","Data wrangling","4"
"Computer Science / Computer Engineering","1 to 5","Yes","C","Python","Machine Learning","2"
"Business / Economics","Less than 1","Yes","R","R","Data wrangling","2"
"Computer Science / Computer Engineering","1 to 5","Yes","Java","R","Data visualization","3"
"Engineering","Less than 1","Indifferent","Matlab","R","Machine Learning","2"
"Business / Economics","1 to 5","Yes","Python","Python","Machine Learning","3"
"Other","Less than 1","Yes","R","R","Machine Learning","2"
"Other","1 to 5","Yes","R","Python","Data visualization","2"
"Business / Economics","Less than 1","Yes","Python","Python","Machine Learning","2"
"Computer Science / Computer Engineering","More than 5","Yes","Other","Python","Machine Learning","4"
"Other","1 to 5","Yes","Python","Python","Machine Learning","3"
"Business / Economics","Less than 1","Yes","Other","Python","Data wrangling","2"
"Other","1 to 5","Yes","Matlab","Python","Machine Learning","3"
"Other","1 to 5","Yes","Other","Python","Data visualization","5 or more"
"Engineering","1 to 5","Yes","Other","Python","Data wrangling","4"
"Computer Science / Computer Engineering","More than 5","Yes","Other","Python","Machine Learning","4"
"Computer Science / Computer Engineering","1 to 5","Yes","Other","Python","Machine Learning","5 or more"
"Computer Science / Computer Engineering","More than 5","Yes","C","Python","Machine Learning","5 or more"
"Computer Science / Computer Engineering","1 to 5","Yes","C","Python","Machine Learning","5 or more"
"Mathematics / Statistics","More than 5","Yes","Python","Python","Machine Learning","2"
"Computer Science / Computer Engineering","1 to 5","Yes","Python","Python","Machine Learning","1"
"Computer Science / Computer Engineering","1 to 5","Yes","Java","Python","Machine Learning","2"
"Business / Economics","1 to 5","Yes","Java","Python","Machine Learning","3"
"Computer Science / Computer Engineering","Less than 1","Yes","C","Python","Machine Learning","1"
"Mathematics / Statistics","More than 5","Yes","Other","Python","Machine Learning","5 or more"
"Computer Science / Computer Engineering","1 to 5","Yes","Python","Python","Machine Learning","2"
"Mathematics / Statistics","Less than 1","Indifferent","Matlab","Python","Data wrangling","3"
"Engineering","1 to 5","Yes","C","R","Machine Learning","2"
"Computer Science / Computer Engineering","Less than 1","Yes","C","Python","Machine Learning","2"
"Mathematics / Statistics","1 to 5","Yes","R","Python","Machine Learning","2"
"Engineering","Less than 1","Yes","C","Python","Machine Learning","3"
"Computer Science / Computer Engineering","1 to 5","Indifferent","Other","Python","Data visualization","3"
"Computer Science / Computer Engineering","Less than 1","Yes","Python","Python","Data visualization","1"
"Engineering","More than 5","Yes","Java","R","Data visualization","3"
"Mathematics / Statistics","1 to 5","Yes","Python","Python","Machine Learning","2"
"Computer Science / Computer Engineering","Less than 1","Yes","C","Python","Data visualization","2"
"Mathematics / Statistics","1 to 5","Yes","SAS","R","Machine Learning","2"
"Business / Economics","More than 5","Yes","SAS","R","Data wrangling","2"
"Computer Science / Computer Engineering","1 to 5","Yes","Python","Python","Machine Learning","3"
"Other","1 to 5","Yes","R","R","Data visualization","2"
"Other","Less than 1","No","Python","R","Data visualization","1"
"Business / Economics","1 to 5","Yes","Other","Python","Machine Learning","2"
"Business / Economics","Less than 1","Yes","R","R","Data wrangling","4"
"Engineering","1 to 5","Yes","Other","Python","Data wrangling","3"
"Computer Science / Computer Engineering","1 to 5","Yes","C","Python","Machine Learning","2"
"Engineering","1 to 5","Yes","Other","Python","Machine Learning","2"
"Mathematics / Statistics","1 to 5","Yes","C","Python","Machine Learning","3"
"Mathematics / Statistics","1 to 5","Yes","Other","R","Data visualization","4"
"Computer Science / Computer Engineering","1 to 5","Yes","C","Python","Machine Learning","3"
